Tipo,Codi,Nombre,Codigo Barras,Codigo Oem,Descripcion,Estado,Moneda,Costo Interno,Precio,Iva,Precio Final,Rentabilidad,Stock,Stock Reservado,Stock Disponible,Stock Minimo,Visible En Ventas,Rubro,Sub Rubro,Proveedor,Observaciones,CC Compras,CC Ventas,CC Mercaderia
Producto,HZRG4B6, VARA HZRDUS BLACK GEN4 60 STIFF,,,,Activo,$,107302.0,76506.17,21,92572.47,0,"2,00","0,00","2,00",0,SI,VARAS,TM,,,,,
Producto,TTPUTTER3, VARA PUTTER  .370 OD STEPLESS PARALLEL TIP,,,,Activo,$,3000.0,4012.35,21,4854.94,0,"2,00","0,00","2,00",0,SI,VARAS,TRUE TEMPER,PREMIUM GOLF MANAGEMENT CO. LTD,,,,
Producto,10,00,,,,Activo,$,0.0,0.0,0,0.0,0,"0,00","0,00","0,00",0,SI,BOLSAS,CARRO,,,,,
Servicio,TALLE,ACORTAR VARA ACERO/GRAFITO,,,,Activo,$,0.0,1280.0,0,1280.0,0,,,,0,SI,,,,,,,
Producto,AJUS,AJUSTE,,,,Activo,$,0.0,0.0,21,0.0,0,"398,00","0,00","398,00",0,SI,PELOTAS,,,,,,
Servicio,TALLE,ALARGUE VARA ACERO,,,,Activo,$,0.0,3200.0,0,3200.0,0,,,,0,SI,,,,,,,
Servicio,TALLE,ALARGUE VARA GRAFITO,,,,Activo,$,0.0,4160.0,0,4160.0,0,,,,0,SI,,,,,,,
Producto,N76086,BALL DISTANCE+,,,,Activo,$,9441.0,28654.97,21,34672.51,0,"6.991,00","27,00","6.964,00",0,SI,PELOTAS,ECONOMICA,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,N76093,BALL DISTANCE+ YLW,,,,Activo,$,9441.0,28654.97,21,34672.51,0,"89,00","0,00","89,00",0,SI,PELOTAS,ECONOMICA,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,N76419,BALL KALEA PEACH DZ,,,,Activo,$,10296.04,20467.84,21,24766.09,0,"44,00","0,00","44,00",0,SI,PELOTAS,ECONOMICA,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,1923714300,BALL KALEA PURPLE DZ,,,,Activo,$,10296.04,20467.84,21,24766.09,0,"50,00","0,00","50,00",0,SI,PELOTAS,ECONOMICA,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,1923714300,BALL NOODLE LONG & SOFT 15,192371364994.0,,,Activo,$,2292.0,18713.45,21,22643.27,0,"0,00","0,00","0,00",0,SI,PELOTAS,ECONOMICA,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,CORN76294,BALL NOODLE LONG & SOFT 15 (TUBO),,,,Activo,$,0.0,1169.59,21,1415.2,0,"51,00","0,00","51,00",0,SI,PELOTAS,,,,,,
Producto,N76299,BALL NOODLE LONG & SOFT 24,,,,Activo,$,11053.1,24853.8,21,30073.1,0,"93,00","0,00","93,00",0,SI,PELOTAS,ECONOMICA,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,1923713649,BALL NOODLE LONG & SOFT 24 (TUBO),,,,Activo,$,0.0,1008.33,21,1220.08,0,"255,00","0,00","255,00",0,SI,PELOTAS,,,,,,
Producto,M71509,BALL RANGE 3 STRIPES YLW ,,,,Activo,$,127.72,1065.0,21,1288.65,0,"17.930,00","0,00","17.930,00",0,SI,PELOTAS,ECONOMICA,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,N76407,BALL SOFT RESPONSE,192371429884.0,,,Activo,$,12870.06,26315.79,21,31842.11,0,"606,00","0,00","606,00",0,SI,PELOTAS,PREMIUM,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,CORN76407,BALL SOFT RESPONSE (TUBO),,,,Activo,$,0.0,2266.08,21,2741.96,0,"324,00","0,00","324,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,N76408,BALL SOFT RESPONSE YLW,192371429945.0,,,Activo,$,12870.06,26315.79,21,31842.11,0,"317,00","0,00","317,00",0,SI,PELOTAS,PREMIUM,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,N27470,BALL TM24 SPEED SOFT DZ,,,,Activo,$,14092.0,20467.84,21,24766.09,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99145,BALL TM24 SPEED SOFT INK BLUE DZ,,,,Activo,$,14092.0,20467.84,21,24766.09,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99100,BALL TM24 SPEED SOFT INK GREEN DZ,,,,Activo,$,14092.0,20467.84,21,24766.09,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99098,BALL TM24 SPEED SOFT INK JAR 6DZ,,,,Activo,$,84539.0,118421.05,21,143289.47,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99240,BALL TM24 SPEED SOFT INK PINK DZ,,,,Activo,$,14092.0,20467.84,21,24766.09,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99102,BALL TM24 SPEED SOFT YLW DZ,,,,Activo,$,14092.0,20467.84,21,24766.09,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99279,BALL TM24 SYMBOL TP5 CACTUS DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99271,BALL TM24 SYMBOL TP5 CALAVERA DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99280,BALL TM24 SYMBOL TP5 CERVEZA DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99277,BALL TM24 SYMBOL TP5 COCKTAIL DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99273,BALL TM24 SYMBOL TP5 DOLAR DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99274,BALL TM24 SYMBOL TP5 PANCHO DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99291,BALL TM24 SYMBOL TP5X CACTUS DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99283,BALL TM24 SYMBOL TP5X CALAVERA DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99292,BALL TM24 SYMBOL TP5X CERVEZA DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99289,BALL TM24 SYMBOL TP5X COCKTAIL DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99285,BALL TM24 SYMBOL TP5X DOLAR DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,V99286,BALL TM24 SYMBOL TP5X PANCHO DZ,,,,Activo,$,33813.0,47309.94,21,57245.03,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,N76639,BALL TM24 TP5 DZ,,,,Activo,$,30992.0,43859.65,21,53070.18,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,N76710,BALL TM24 TP5 PIX 3.0 DZ,,,,Activo,$,30992.0,43859.65,21,53070.18,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,N76686,BALL TM24 TP5 YLW DZ,,,,Activo,$,30992.0,43859.65,21,53070.18,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,N76667,BALL TM24 TP5X DZ,,,,Activo,$,30992.0,43859.65,21,53070.18,0,"0,00","0,00","0,00",0,SI,PELOTAS,ECONOMICA,,,,,
Producto,N76739,BALL TM24 TP5X PIX 3.0 DZ,,,,Activo,$,30992.0,43859.65,21,53070.18,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,N76698,BALL TM24 TP5X YLW DZ,,,,Activo,$,30992.0,43859.65,21,53070.18,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,,,,,
Producto,N76384,BALL TOUR RESPONSE,192371429662.0,,,Activo,$,22106.22,38596.49,21,46701.75,0,"346,00","0,00","346,00",0,SI,PELOTAS,PREMIUM,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,CORN76384,BALL TOUR RESPONSE (TUBO),,,,Activo,$,0.0,3435.67,21,4157.16,0,"16,00","0,00","16,00",0,SI,PELOTAS,,,,,,
Producto,N76386,BALL TOUR RESPONSE STRIPE,192371429853.0,,,Activo,$,22106.22,38596.49,21,46701.75,0,"564,00","0,00","564,00",0,SI,PELOTAS,PREMIUM,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,CORN76386,BALL TOUR RESPONSE STRIPE (TUBO),,,,Activo,$,0.0,3435.67,21,4157.16,0,"83,00","0,00","83,00",0,SI,PELOTAS,,,,,,
Producto,N76593,BALL TOUR RESPONSE STRIPE BLUE JAR DDZ,,,,Activo,$,44212.46,77192.98,21,93403.51,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,1923715037,BALL TOUR RESPONSE STRIPE GREEN JAR DDZ,,,,Activo,$,44212.46,77192.98,21,93403.51,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,TAYLOR MADE GOLF COMPANY INC.,,,,
Producto,1923715158,BALL TOUR RESPONSE STRIPE PINK JAR DDZ,,,,Activo,$,44212.46,77192.98,21,93403.51,0,"0,00","0,00","0,00",0,SI,PELOTAS,PREMIUM,TAYLOR MADE GOLF COMPANY INC.,,,,
