Brand Code Desc,Product Line Code-Desc,Model Code,Model Desc,Product Number,Item Description,US Size,UPC Number,Product Stat Factor,Catalog Price (USD),MSRP Price (USD)
13 - TaylorMade,30 - Metalwoods,TA081,MWD-StlthPlus-P GDIZ6,N7442509,MWD-StlthPlus-PGDIZ6 9.0/Rh S,S,192371485699,1,633,849.99
13 - TaylorMade,30 - Metalwoods,TA081,MWD-StlthPlus-P GDIZ6,N7442511,MWD-StlthPlus-PGDIZ6 9.0/Rh X,X,192371485705,1,633,849.99
13 - TaylorMade,30 - Metalwoods,TA081,MWD-StlthPlus-P GDIZ6,N7442609,MWD-StlthPlus-PGDIZ6 10.5/RhS,S,192371485651,1,633,849.99
13 - TaylorMade,30 - Metalwoods,TA082,MWD-StlthPlus-P MCAZF6,N7442809,MWD-StlthPlus-PMCAZF6 9.0/RhS,S,192371485712,1,633,849.99
13 - TaylorMade,30 - Metalwoods,TA082,MWD-StlthPlus-P MCAZF6,N7442811,MWD-StlthPlus-PMCAZF6 9.0/RhX,X,192371485729,1,633,849.99
13 - TaylorMade,30 - Metalwoods,TA082,MWD-StlthPlus-P MCAZF6,N7442909,MWD-StlthPlus-PMCAZF6 10.5/RhS,S,192371485675,1,633,849.99
13 - TaylorMade,30 - Metalwoods,TA083,MWD-STLTH Core-P GDIZ6,N7445009,MWD-STLTHCor-PGDIZ6 9.0/Rh S,S,192371492680,1,618,829.99
13 - TaylorMade,30 - Metalwoods,TA083,MWD-STLTH Core-P GDIZ6,N7445011,MWD-STLTHCor-PGDIZ6 9.0/Rh X,X,192371492697,1,618,829.99
13 - TaylorMade,30 - Metalwoods,TA083,MWD-STLTH Core-P GDIZ6,N7445109,MWD-STLTHCor-PGDIZ6 10.5/Rh S,S,192371492710,1,618,829.99
13 - TaylorMade,30 - Metalwoods,TA084,MWD-STLTH Core-P MCAZF60,N7445309,MWD-STLTHCor-PMCAZF6 9.0/Rh S,S,192371492741,1,618,829.99
13 - TaylorMade,30 - Metalwoods,TA084,MWD-STLTH Core-P MCAZF60,N7445311,MWD-STLTHCor-PMCAZF6 9.0/Rh X,X,192371492758,1,618,829.99
13 - TaylorMade,30 - Metalwoods,TA084,MWD-STLTH Core-P MCAZF60,N7445409,MWD-STLTHCor-PMCAZF6 10.5/Rh S,S,192371492727,1,618,829.99
